Neighbourhood,F2020_Population_Projection,Assault_2019,Assault_Rate2019,AutoTheft_2019,AutoTheft_Rate2019,BreakAndEnter_2019,BreakAndEnter_Rate2019,Robbery_2019,Robbery_Rate2019,TheftOver_2019,TheftOver_Rate2019,Homicide_2019,Homicide_Rate2019,Shootings_2019,Shootings_Rate2019
Keelesdale-Eglinton West,12050,57,479.1124,33,277.3809,18,151.2986,11,92.46028,8,67.24384,1,8.40548,0,0
O'Connor-Parkview,20156,143,717.2593,28,140.4424,56,280.8848,14,70.2212,7,35.1106,0,0,5,25.079
Old East York,9817,50,512.9257,4,41.03406,13,133.3607,12,123.1022,3,30.77554,0,0,0,0
Casa Loma,12334,54,447.3531,6,49.70591,34,281.6668,8,66.27454,2,16.56864,0,0,0,0
Kensington-Chinatown,21196,400,1945.052,43,209.0931,278,1351.811,51,247.9942,37,179.9173,0,0,3,14.58789
Kingsway South,10327,31,306.3544,30,296.472,25,247.06,13,128.4712,4,39.5296,0,0,0,0
Runnymede-Bloor West Village,10792,46,429.9066,31,289.7196,27,252.3364,20,186.9159,2,18.69159,0,0,0,0
Forest Hill South,12450,27,222.9746,20,165.1664,35,289.0412,15,123.8748,4,33.03328,0,0,0,0
Henry Farm,22545,82,391.2587,22,104.9718,39,186.0865,6,28.62868,13,62.02882,0,0,5,23.85724
Annex,34680,305,899.0685,29,85.4852,212,624.9263,39,114.9629,41,120.8584,1,2.947766,1,2.947766
Caledonia-Fairbank,10729,74,696.6673,9,84.7298,9,84.7298,15,141.2163,2,18.82885,0,0,0,0
Humber Heights-Westmount,12325,38,315.4051,19,157.7025,23,190.9031,4,33.20053,5,41.50066,0,0,7,58.10093
Roncesvalles,16073,119,746.5027,15,94.09698,95,595.9476,24,150.5552,10,62.73132,0,0,3,18.8194
University,8433,137,1649.013,15,180.5489,92,1107.366,13,156.4757,8,96.29273,1,12.03659,1,12.03659
Hillcrest Village,18349,75,413.9758,27,149.0313,36,198.7084,17,93.83452,6,33.11806,1,5.519678,1,5.519678
Mount Dennis,14703,92,632.7808,23,158.1952,14,96.29273,16,110.0488,5,34.39026,3,20.63416,4,27.51221
